timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537456269.250928,0.252153,0.584926,-0.499608,-0.006092,0.043282,0.016907,0.208013,-0.552138,-0.807388,-0.009175,0.004500,0.003250,29.329773,-17.438953,-35.412781,,,,,,,
1537456269.280795,0.252145,0.583666,-0.498587,-0.067538,-0.003369,0.011564,0.208179,-0.551087,-0.808062,0.000225,-0.007583,0.001544,29.264128,-17.608757,-35.851807,,,,,,,
1537456269.310662,0.251103,0.581732,-0.495982,-0.080673,0.019603,0.067166,0.207602,-0.549472,-0.809309,0.001367,-0.023190,0.009856,29.035112,-17.566879,-35.692139,,,,,,,
1537456269.340529,0.251236,0.580409,-0.492603,-0.041355,0.065272,0.047627,0.207890,-0.548366,-0.809986,-0.020756,0.002315,-0.010342,29.268347,-17.588520,-35.708679,,,,,,,
1537456269.370396,0.252483,0.581128,-0.492158,0.070628,0.020829,-0.021425,0.208802,-0.548967,-0.809343,-0.007706,0.014650,-0.033354,29.209677,-17.939968,-35.979675,,,,,,,
1537456269.400264,0.253429,0.582139,-0.493795,-0.004958,0.016095,-0.045760,0.209428,-0.549812,-0.808608,-0.002290,-0.010689,0.003920,29.223555,-17.910244,-35.864929,,,,,,,
1537456269.430131,0.253536,0.582241,-0.492292,0.018171,0.026203,0.082282,0.209500,-0.549897,-0.808531,0.009143,-0.025375,-0.024263,29.180223,-17.775841,-35.885071,,,,,,,
1537456269.459998,0.255956,0.583848,-0.490108,0.095349,0.183080,0.049243,0.211232,-0.551239,-0.807166,-0.005727,-0.000855,-0.001367,29.440346,-17.471809,-35.601318,,,,,,,
1537456269.489865,0.265974,0.588576,-0.487590,0.136397,0.647064,0.160202,0.218620,-0.555177,-0.802486,-0.004890,-0.038054,0.071865,29.290070,-17.954807,-35.528503,,,,,,,
1537456269.519733,0.295166,0.600649,-0.479518,0.610561,1.499405,0.429452,0.239983,-0.565178,-0.789292,-0.028023,-0.069542,0.035279,30.094851,-18.604370,-34.768127,,,,,,,
